Palavra,Custo,Cliques,Impressões,Conversões,Principais consultas com a palavra
english,"R$ 1,48",1,10,"0,00","(interview in english, english interview, english interview simulation)"
interview,"R$ 1,48",1,10,"0,00","(interview in english, english interview, english interview simulation)"
dicas,"R$ 0,00",0,9,"0,00","(entrevista em ingles dicas, dicas para entrevista de emprego em ingles, dicas para entrevista em inglês)"
in,"R$ 1,48",1,8,"0,00",(interview in english)
como fazer,"R$ 1,50",1,8,"0,00","(como fazer uma entrevista de emprego em ingles, como fazer uma entrevista em ingles sem saber ingles, como fazer entrevista em ingles)"
bilingue,"R$ 0,00",0,8,"0,00",(entrevista bilingue)
exemplos,"R$ 2,59",2,6,"0,00",(exemplos de entrevistas em ingles)
principais perguntas,"R$ 1,49",1,5,"0,00","(principais perguntas em uma entrevista em ingles, principais perguntas em entrevista de emprego em ingles)"
pdf,"R$ 1,48",1,5,"0,00","(entrevista de emprego em inglês pdf, entrevista de emprego em inglês perguntas e respostas pdf, entrevista em inglês perguntas e respostas pdf)"
simulação,"R$ 0,00",0,4,"0,00",(simulação de entrevista de emprego em inglês)
como é,"R$ 0,00",0,4,"0,00","(como é entrevista em inglês, como é uma entrevista em ingles)"
saber,"R$ 0,00",0,3,"0,00",(como fazer uma entrevista em ingles sem saber ingles)
bem,"R$ 0,00",0,3,"0,00",(como se sair bem em uma entrevista em ingles)
apresentação,"R$ 0,00",0,3,"0,00",(apresentação em ingles para entrevista de emprego)
50,"R$ 1,49",1,3,"0,00",(50 perguntas e respostas de entrevista de emprego em inglês)
vocabulario,"R$ 1,45",1,3,"0,00",(vocabulario em ingles para entrevista de emprego)
sair,"R$ 0,00",0,3,"0,00",(como se sair bem em uma entrevista em ingles)
modelo de,"R$ 0,00",0,3,"0,00","(modelo de entrevista em inglês, modelo de entrevista em ingles)"
sem,"R$ 0,00",0,3,"0,00",(como fazer uma entrevista em ingles sem saber ingles)
videos,"R$ 0,00",0,2,"0,00",(videos de entrevistas em ingles)
que,"R$ 0,00",0,2,"0,00",(o que falar em uma entrevista em ingles)
basico,"R$ 0,00",0,2,"0,00",(entrevista de ingles basico)
falar,"R$ 0,00",0,2,"0,00",(o que falar em uma entrevista em ingles)
tradução,"R$ 0,00",0,2,"0,00","(entrevista de emprego em inglês tradução, entrevista em ingles tradução)"
o,"R$ 0,00",0,2,"0,00",(o que falar em uma entrevista em ingles)
vocabulário,"R$ 0,00",0,2,"0,00",(vocabulário para entrevista em inglês)
simulation,"R$ 0,00",0,1,"0,00",(english interview simulation)
programa,"R$ 0,00",0,1,"0,00",(programa de entrevista em inglês)
preparação,"R$ 0,00",0,1,"0,00",(preparação para entrevista em ingles)
intermediário,"R$ 0,00",0,1,"0,00",(entrevista inglês intermediário)
numa,"R$ 0,00",0,1,"0,00",(como se apresentar em ingles numa entrevista de emprego)
google,"R$ 0,00",0,1,"0,00",(entrevista em inglês google tradutor)
frases,"R$ 0,00",0,1,"0,00",(frases em ingles para entrevista de emprego)
tradutor,"R$ 0,00",0,1,"0,00",(entrevista em inglês google tradutor)
trabalho,"R$ 0,00",0,1,"0,00",(entrevista de trabalho em ingles)
qualidades,"R$ 0,00",0,1,"0,00",(qualidades em ingles para entrevista)
nivel,"R$ 0,00",0,1,"0,00",(entrevista em ingles nivel intermediario)
exercícios,"R$ 0,00",0,1,"0,00",(entrevista de emprego em inglês exercícios)
frequentes,"R$ 0,00",0,1,"0,00",(perguntas frequentes em entrevistas de emprego em inglês)
intermediario,"R$ 0,00",0,1,"0,00",(entrevista em ingles nivel intermediario)
comuns,"R$ 0,00",0,1,"0,00",(perguntas comuns em entrevistas de emprego em ingles)
